t, Evaporation,t, Groundwater Recharge (m3/day),t, Infiltration rate (m3/day),t, Inflow to the pond (m3/day),t, Overflow (m3/day),t, Pond water depth (m),t, Precipitation (mm/day),t, Soil Moisture,t, Underdrain flow (m3/day)
40544.00000,0,40544.00000,0.0086404,40544.00000,4.96683e-07,40544.00000,2.91323e-05,40544.00000,0,40544.00000,1.57189e-07,40544.00000,0,40544.00000,0.162306,40544.00000,0
40544.01000,0,40544.01000,0.0172807,40544.01000,2.15121e-06,40544.01000,5.77979e-05,40544.01000,0,40544.01000,4.6266e-07,40544.01000,0,40544.01000,0.32461,40544.01000,0
40544.02000,0,40544.02000,0.0172806,40544.02000,3.72867e-06,40544.02000,5.73378e-05,40544.02000,0,40544.02000,6.0368e-07,40544.02000,0,40544.02000,0.324607,40544.02000,0
40544.03000,0,40544.03000,0.0172806,40544.03000,5.58244e-06,40544.03000,5.68836e-05,40544.03000,0,40544.03000,7.37e-07,40544.03000,0,40544.03000,0.324603,40544.03000,0
40544.04000,0,40544.04000,0.0172806,40544.04000,7.57436e-06,40544.04000,5.64323e-05,40544.04000,0,40544.04000,8.66471e-07,40544.04000,0,40544.04000,0.3246,40544.04000,0
40544.05000,0,40544.05000,0.0172807,40544.05000,9.82772e-06,40544.05000,5.59913e-05,40544.05000,0,40544.05000,9.80628e-07,40544.05000,0,40544.05000,0.324596,40544.05000,0
40544.06000,0,40544.06000,0.0172808,40544.06000,1.21138e-05,40544.06000,5.55516e-05,40544.06000,0,40544.06000,1.09287e-06,40544.06000,0,40544.06000,0.324593,40544.06000,0
40544.07000,0,40544.07000,0.0172809,40544.07000,1.44117e-05,40544.07000,5.51194e-05,40544.07000,0,40544.07000,1.19319e-06,40544.07000,0,40544.07000,0.324589,40544.07000,0
40544.08000,0,40544.08000,0.0172811,40544.08000,1.67206e-05,40544.08000,5.46942e-05,40544.08000,0,40544.08000,1.28244e-06,40544.08000,0,40544.08000,0.324585,40544.08000,0
40544.09000,0,40544.09000,0.0172812,40544.09000,1.90295e-05,40544.09000,5.42689e-05,40544.09000,0,40544.09000,1.37169e-06,40544.09000,0,40544.09000,0.324582,40544.09000,0
40544.10000,0,40544.10000,0.0172814,40544.10000,2.10762e-05,40544.10000,5.38855e-05,40544.10000,0,40544.10000,1.44727e-06,40544.10000,0,40544.10000,0.324578,40544.10000,0
40544.11000,0,40544.11000,0.0172816,40544.11000,2.26526e-05,40544.11000,5.35773e-05,40544.11000,0,40544.11000,1.49834e-06,40544.11000,0,40544.11000,0.324575,40544.11000,0
40544.12000,0,40544.12000,0.0172818,40544.12000,2.4229e-05,40544.12000,5.32691e-05,40544.12000,0,40544.12000,1.54941e-06,40544.12000,0,40544.12000,0.324572,40544.12000,0
40544.13000,0,40544.13000,0.017282,40544.13000,2.58054e-05,40544.13000,5.29608e-05,40544.13000,0,40544.13000,1.60048e-06,40544.13000,0,40544.13000,0.324569,40544.13000,0
