run_id,type,cycle,start_utc,end_utc,elapsed_sec,sim_start_serial,sim_end_serial,sim_days,initial_state_path,output_state_path,status,notes
1,forward_advance,1,2026-08-10T14:29:14.467Z,2026-08-10T14:29:19.709Z,5.24200000,43833.00000000,43834.00000000,1.00000000,(cold start from script),/home/arash/Projects/DrywellDT/deployments/Bioretention_assimilation_MCMC_drift_SE/state/state_20200104_000000.json,ok,
2,forward_forecast,1,2026-08-10T14:29:19.710Z,2026-08-10T14:29:25.279Z,5.56900000,43833.00000000,43840.00000000,7.00000000,(cold start from script),,ok,
3,forward_advance,2,2026-08-10T14:36:26.654Z,2026-08-10T14:36:32.770Z,6.11600000,43834.00000000,43835.00000000,1.00000000,/home/arash/Projects/DrywellDT/deployments/Bioretention_assimilation_MCMC_drift_SE/state/_current_input.json,/home/arash/Projects/DrywellDT/deployments/Bioretention_assimilation_MCMC_drift_SE/state/state_20200105_000000.json,ok,
4,forward_forecast,2,2026-08-10T14:36:32.770Z,2026-08-10T14:36:40.612Z,7.84200000,43834.00000000,43841.00000000,7.00000000,/home/arash/Projects/DrywellDT/deployments/Bioretention_assimilation_MCMC_drift_SE/state/_current_input.json,,ok,
5,forward_advance,3,2026-08-10T14:43:38.655Z,2026-08-10T14:43:45.932Z,7.27700000,43835.00000000,43836.00000000,1.00000000,/home/arash/Projects/DrywellDT/deployments/Bioretention_assimilation_MCMC_drift_SE/state/_current_input.json,/home/arash/Projects/DrywellDT/deployments/Bioretention_assimilation_MCMC_drift_SE/state/state_20200106_000000.json,ok,
6,forward_forecast,3,2026-08-10T14:43:45.933Z,2026-08-10T14:43:51.112Z,5.17900000,43835.00000000,43842.00000000,7.00000000,/home/arash/Projects/DrywellDT/deployments/Bioretention_assimilation_MCMC_drift_SE/state/_current_input.json,,ok,
7,assim_calibration,1,2026-08-10T14:50:50.581Z,2026-08-10T14:54:25.939Z,215.35800000,43833.00000000,43836.00000000,3.00000000,/home/arash/Projects/DrywellDT/deployments/Bioretention_assimilation_MCMC_drift_SE/state/state_20200106_000000.json,/home/arash/Projects/DrywellDT/deployments/Bioretention_assimilation_MCMC_drift_SE/outputs/calibration/state_calibrated_20260810_145425.json,ok,MCMC provisional (plateaued=0.0625)
8,forward_advance,4,2026-08-10T15:19:38.654Z,2026-08-10T15:19:45.568Z,6.91400000,43836.00000000,43839.00000000,3.00000000,/home/arash/Projects/DrywellDT/deployments/Bioretention_assimilation_MCMC_drift_SE/state/_current_input.json,/home/arash/Projects/DrywellDT/deployments/Bioretention_assimilation_MCMC_drift_SE/state/state_20200109_000000.json,ok,
9,forward_forecast,4,2026-08-10T15:19:45.569Z,2026-08-10T15:19:52.385Z,6.81600000,43836.00000000,43843.00000000,7.00000000,/home/arash/Projects/DrywellDT/deployments/Bioretention_assimilation_MCMC_drift_SE/state/_current_input.json,,ok,
10,assim_calibration,2,2026-08-10T15:12:26.660Z,2026-08-10T15:28:06.330Z,939.67000000,43833.00000000,43839.00000000,6.00000000,/home/arash/Projects/DrywellDT/deployments/Bioretention_assimilation_MCMC_drift_SE/state/state_20200106_000000.json,/home/arash/Projects/DrywellDT/deployments/Bioretention_assimilation_MCMC_drift_SE/outputs/calibration/state_calibrated_20260810_152806.json,ok,MCMC converged (ess=96.8462)
11,assim_calibration,3,2026-08-10T15:34:02.661Z,2026-08-10T15:37:23.594Z,200.93300000,43833.00000000,43842.00000000,9.00000000,/home/arash/Projects/DrywellDT/deployments/Bioretention_assimilation_MCMC_drift_SE/state/state_20200109_000000.json,/home/arash/Projects/DrywellDT/deployments/Bioretention_assimilation_MCMC_drift_SE/outputs/calibration/state_calibrated_20260810_153723.json,ok,MCMC converged (ess=66.7941)
12,forward_advance,5,2026-08-10T15:41:14.653Z,2026-08-10T15:41:21.923Z,7.27000000,43839.00000000,43842.00000000,3.00000000,/home/arash/Projects/DrywellDT/deployments/Bioretention_assimilation_MCMC_drift_SE/state/_current_input.json,/home/arash/Projects/DrywellDT/deployments/Bioretention_assimilation_MCMC_drift_SE/state/state_20200112_000000.json,ok,
