t, Obs_Pond water depth (m)_expression
40178.80000,2.56224e-07
40178.81000,4.56852e-07
40178.82000,5.8892e-07
40178.83000,7.09307e-07
40178.84000,8.23854e-07
40178.85000,9.17287e-07
40178.86000,1.00808e-06
40178.87000,1.0847e-06
40178.88000,1.14816e-06
40178.89000,1.21162e-06
40178.90000,1.26367e-06
40178.91000,1.29526e-06
40178.92000,1.32684e-06
40178.93000,1.35843e-06
40178.94000,1.38835e-06
40178.95000,1.40838e-06
40178.96000,1.42842e-06
40178.97000,1.44845e-06
40178.98000,1.46849e-06
40178.99000,1.48113e-06
40179.00000,1.49322e-06
40179.01000,1.50531e-06
40179.02000,1.51739e-06
40179.03000,1.52568e-06
40179.04000,1.53246e-06
40179.05000,1.53924e-06
40179.06000,1.54602e-06
40179.07000,1.55105e-06
40179.08000,1.55434e-06
40179.09000,1.55764e-06
40179.10000,1.56094e-06
40179.11000,1.56358e-06
40179.12000,1.56462e-06
40179.13000,1.56566e-06
40179.14000,1.5667e-06
40179.15000,1.56763e-06
40179.16000,1.56722e-06
40179.17000,1.56681e-06
40179.18000,1.5664e-06
40179.19000,1.56599e-06
40179.20000,1.56479e-06
40179.21000,1.56346e-06
40179.22000,1.56212e-06
40179.23000,1.56079e-06
40179.24000,1.55908e-06
40179.25000,1.55717e-06
40179.26000,1.55525e-06
40179.27000,1.55334e-06
40179.28000,1.55126e-06
40179.29000,1.54898e-06
40179.30000,1.54669e-06
40179.31000,1.5444e-06
40179.32000,1.54204e-06
40179.33000,1.53942e-06
40179.34000,1.53681e-06
40179.35000,1.53419e-06
40179.36000,1.53157e-06
40179.37000,1.52869e-06
40179.38000,1.52581e-06
40179.39000,1.52293e-06
40179.40000,1.52005e-06
40179.41000,1.51703e-06
40179.42000,1.51398e-06
40179.43000,1.51093e-06
40179.44000,1.50788e-06
40179.45000,1.5048e-06
40179.46000,1.50168e-06
40179.47000,1.49856e-06
40179.48000,1.49545e-06
40179.49000,1.49234e-06
40179.50000,1.48926e-06
40179.51000,1.48617e-06
40179.52000,1.48308e-06
40179.53000,1.48001e-06
40179.54000,1.47703e-06
40179.55000,1.47404e-06
40179.56000,1.47106e-06
40179.57000,1.46808e-06
40179.58000,1.46524e-06
40179.59000,1.46242e-06
40179.60000,1.4596e-06
40179.61000,1.45677e-06
40179.62000,1.45408e-06
40179.63000,1.45144e-06
40179.64000,1.4488e-06
40179.65000,1.44616e-06
40179.66000,1.44359e-06
40179.67000,1.44111e-06
40179.68000,1.43862e-06
40179.69000,1.43614e-06
40179.70000,1.43367e-06
40179.71000,1.43125e-06
40179.72000,1.42883e-06
40179.73000,1.42641e-06
40179.74000,1.42399e-06
40179.75000,1.42158e-06
40179.76000,1.41917e-06
40179.77000,1.41676e-06
40179.78000,1.41435e-06
40179.79000,1.41193e-06
40179.80000,1.40952e-06
40179.81000,1.4071e-06
40179.82000,1.40469e-06
40179.83000,1.40227e-06
40179.84000,1.39985e-06
40179.85000,1.39743e-06
40179.86000,1.39501e-06
40179.87000,1.3926e-06
40179.88000,1.39018e-06
40179.89000,1.38777e-06
40179.90000,1.38535e-06
40179.91000,1.38294e-06
40179.92000,1.38054e-06
40179.93000,1.37814e-06
40179.94000,1.37573e-06
40179.95000,1.37333e-06
40179.96000,1.37094e-06
40179.97000,1.36856e-06
