t,Obs_Pond water depth (m)_expression_noisy
40178.8,2.22220372460787E-07
40178.81,4.12650265708582E-07
40178.82,5.21328150381414E-07
40178.83,6.26389030204686E-07
40178.84,7.29574833500064E-07
40178.85,7.99599639816833E-07
40178.86,8.50608106672328E-07
40178.87,9.38103077126489E-07
40178.88,1.00870414096275E-06
40178.89,1.01348295499017E-06
40178.9,1.13603615075746E-06
40178.91,1.20113355174697E-06
40178.92,1.20835088009662E-06
40178.93,1.27311917297374E-06
40178.94,1.28769249710148E-06
40178.95,1.30792815833508E-06
40178.96,1.35981351892075E-06
40178.97,1.33423471405765E-06
40178.98,1.37890050634458E-06
40178.99,1.44935130722697E-06
40179,1.51703933817533E-06
40179.01,1.51572531221427E-06
40179.02,1.56620057153736E-06
40179.03,1.50365167241148E-06
40179.04,1.50458133976341E-06
40179.05,1.53129275649831E-06
40179.06,1.48209281020906E-06
40179.07,1.48600925008592E-06
40179.08,1.56473454194301E-06
40179.09,1.68568455804975E-06
40179.1,1.72072388339673E-06
40179.11,1.75696843957453E-06
40179.12,1.70419288663229E-06
40179.13,1.64357181111738E-06
40179.14,1.57849476691008E-06
40179.15,1.60285595769045E-06
40179.16,1.6347727392961E-06
40179.17,1.6021098369728E-06
40179.18,1.54669054696405E-06
40179.19,1.55814151672367E-06
40179.2,1.57082403668868E-06
40179.21,1.56357049690831E-06
40179.22,1.61821831954378E-06
40179.23,1.61044879661869E-06
40179.24,1.60376560143039E-06
40179.25,1.55160835373197E-06
40179.26,1.5557665284199E-06
40179.27,1.61297150778633E-06
40179.28,1.61116334770054E-06
40179.29,1.60956878006055E-06
40179.3,1.62418581489625E-06
40179.31,1.63117731025622E-06
40179.32,1.64926880344964E-06
40179.33,1.6667535147104E-06
40179.34,1.68743606395064E-06
40179.35,1.64180059138335E-06
40179.36,1.64830166675585E-06
40179.37,1.56916498403395E-06
40179.38,1.57622221513858E-06
40179.39,1.5172279209423E-06
40179.4,1.51159131600408E-06
40179.41,1.52888300223963E-06
40179.42,1.50789807290856E-06
40179.43,1.50918141314803E-06
40179.44,1.43922789904826E-06
40179.45,1.4051151239593E-06
40179.46,1.43306549417705E-06
40179.47,1.38757436139021E-06
40179.48,1.41415546867415E-06
40179.49,1.36089974241571E-06
40179.5,1.3291443979747E-06
40179.51,1.29245631994682E-06
40179.52,1.29710828872099E-06
40179.53,1.32066511294927E-06
40179.54,1.28535371483887E-06
