t, Obs_Soil Moisture_expression
40178.80000,0.324612
40178.81000,0.324606
40178.82000,0.324602
40178.83000,0.324598
40178.84000,0.324593
40178.85000,0.324589
40178.86000,0.324585
40178.87000,0.32458
40178.88000,0.324576
40178.89000,0.324572
40178.90000,0.324568
40178.91000,0.324565
40178.92000,0.324561
40178.93000,0.324558
40178.94000,0.324555
40178.95000,0.324552
40178.96000,0.324549
40178.97000,0.324545
40178.98000,0.324542
40178.99000,0.324539
40179.00000,0.324536
40179.01000,0.324533
40179.02000,0.324529
40179.03000,0.324526
40179.04000,0.324523
40179.05000,0.32452
40179.06000,0.324517
40179.07000,0.324513
40179.08000,0.32451
40179.09000,0.324507
40179.10000,0.324504
40179.11000,0.3245
40179.12000,0.324497
40179.13000,0.324494
40179.14000,0.324491
40179.15000,0.324488
40179.16000,0.324484
40179.17000,0.324481
40179.18000,0.324478
40179.19000,0.324475
40179.20000,0.324472
40179.21000,0.324468
40179.22000,0.324465
40179.23000,0.324462
40179.24000,0.324459
40179.25000,0.324456
40179.26000,0.324452
40179.27000,0.324449
40179.28000,0.324445
40179.29000,0.324439
40179.30000,0.324433
40179.31000,0.324428
40179.32000,0.324416
40179.33000,0.324386
40179.34000,0.324356
40179.35000,0.324326
40179.36000,0.324296
40179.37000,0.32425
40179.38000,0.324203
40179.39000,0.324156
40179.40000,0.324109
40179.41000,0.32406
40179.42000,0.32401
40179.43000,0.32396
40179.44000,0.32391
40179.45000,0.323864
40179.46000,0.323821
40179.47000,0.323778
40179.48000,0.323735
40179.49000,0.323697
40179.50000,0.323667
40179.51000,0.323638
40179.52000,0.323609
40179.53000,0.323583
40179.54000,0.323572
40179.55000,0.323562
40179.56000,0.323551
40179.57000,0.323541
40179.58000,0.323549
40179.59000,0.323559
40179.60000,0.323568
40179.61000,0.323578
40179.62000,0.3236
40179.63000,0.323627
40179.64000,0.323655
40179.65000,0.323682
40179.66000,0.323713
40179.67000,0.323747
40179.68000,0.323781
40179.69000,0.323814
40179.70000,0.323845
40179.71000,0.323865
40179.72000,0.323886
40179.73000,0.323907
40179.74000,0.323927
40179.75000,0.323936
40179.76000,0.323944
40179.77000,0.323952
40179.78000,0.323961
40179.79000,0.323964
40179.80000,0.323966
40179.81000,0.323969
40179.82000,0.323971
40179.83000,0.323972
40179.84000,0.323971
40179.85000,0.323971
40179.86000,0.323971
40179.87000,0.32397
40179.88000,0.323968
40179.89000,0.323966
40179.90000,0.323964
40179.91000,0.323962
40179.92000,0.32396
40179.93000,0.323958
40179.94000,0.323955
40179.95000,0.323953
40179.96000,0.32395
40179.97000,0.323947
40179.98000,0.323945
40179.99000,0.323942
40180.00000,0.323939
40180.01000,0.323936
40180.02000,0.323933
40180.03000,0.32393
40180.04000,0.323927
40180.05000,0.323924
40180.06000,0.323921
40180.07000,0.323919
40180.08000,0.323916
40180.09000,0.323913
40180.10000,0.32391
40180.11000,0.323907
40180.12000,0.323904
40180.13000,0.323901
40180.14000,0.323898
40180.15000,0.323895
40180.16000,0.323892
40180.17000,0.323889
40180.18000,0.323886
40180.19000,0.323883
40180.20000,0.32388
40180.21000,0.323877
40180.22000,0.323874
40180.23000,0.323871
40180.24000,0.323868
40180.25000,0.323865
