t,Obs_Underdrain flow (m3/day)_expression_noisy
40178.8,0
40178.81,0
40178.82,0
40178.83,0
40178.84,0
40178.85,0
40178.86,0
40178.87,0
40178.88,0
40178.89,0
40178.9,0
40178.91,0
40178.92,0
40178.93,0
40178.94,0
40178.95,0
40178.96,0
40178.97,0
40178.98,0
40178.99,0
40179,0
40179.01,0
40179.02,0
40179.03,0
40179.04,0
40179.05,0
40179.06,0
40179.07,0
40179.08,0
40179.09,0
40179.1,0
40179.11,0
40179.12,0
40179.13,0
40179.14,0
40179.15,0
40179.16,0
40179.17,0
40179.18,0
40179.19,0
40179.2,0
40179.21,0
40179.22,0
40179.23,0
40179.24,0
40179.25,0
40179.26,0
40179.27,0
40179.28,0
40179.29,0
40179.3,0
40179.31,0
40179.32,0
40179.33,0
40179.34,0
40179.35,0
40179.36,0
40179.37,0
40179.38,0
40179.39,0
40179.4,0
40179.41,0
40179.42,0
40179.43,0
40179.44,0
40179.45,0
40179.46,0
40179.47,0
40179.48,0
40179.49,0
40179.5,0
40179.51,0
40179.52,0
40179.53,0
40179.54,0
40179.55,0
40179.56,0
40179.57,0
40179.58,0
40179.59,0
40179.6,0
40179.61,0
40179.62,0
40179.63,0
40179.64,0
40179.65,0
40179.66,0
40179.67,0
40179.68,0
40179.69,0
40179.7,0
40179.71,0
40179.72,0
40179.73,0
40179.74,0
40179.75,0
40179.76,0
40179.77,0
40179.78,0
40179.79,0
40179.8,0
40179.81,0
40179.82,0
40179.83,0
40179.84,0
40179.85,0
40179.86,0
40179.87,0
40179.88,0
40179.89,0
40179.9,0
40179.91,0
40179.92,0
40179.93,0
40179.94,0
40179.95,0
40179.96,0
40179.97,0
40179.98,0
40179.99,0
40180,0
40180.01,0
40180.02,0
40180.03,0
40180.04,0
40180.05,0
40180.06,0
40180.07,0
40180.08,0
40180.09,0
40180.1,0
40180.11,0
40180.12,0
40180.13,0
40180.14,0
40180.15,0
40180.16,0
40180.17,0
40180.18,0
40180.19,0
40180.2,0
40180.21,0
40180.22,0
40180.23,0
40180.24,0
40180.25,0
40180.26,0
40180.27,0
40180.28,0
40180.29,0
40180.3,0
40180.31,0
40180.32,0
40180.33,0
40180.34,0
40180.35,0
40180.36,0
40180.37,0
40180.38,0
40180.39,0
40180.4,0
40180.41,0
40180.42,0
40180.43,0
40180.44,0
40180.45,0
40180.46,0
40180.47,0
40180.48,0
40180.49,0
40180.5,0
40180.51,0
40180.52,0
40180.53,0
40180.54,0
40180.55,0
40180.56,0
40180.57,0
40180.58,0
40180.59,0
40180.6,0
40180.61,0
40180.62,0
40180.63,0
