run_id,type,cycle,start_utc,end_utc,elapsed_sec,sim_start_serial,sim_end_serial,sim_days,initial_state_path,output_state_path,status,notes
1,forward_advance,1,2026-07-27T16:09:27.785Z,2026-07-27T16:09:39.392Z,11.60700000,43833.00000000,43834.00000000,1.00000000,(cold start from script),/home/arash/Projects/DrywellDT/deployments/Bioretention_truth_drift/state/state_20200104_000000.json,ok,
2,forward_advance,2,2026-07-27T16:16:40.118Z,2026-07-27T16:16:50.826Z,10.70800000,43834.00000000,43835.00000000,1.00000000,/home/arash/Projects/DrywellDT/deployments/Bioretention_truth_drift/state/_current_input.json,/home/arash/Projects/DrywellDT/deployments/Bioretention_truth_drift/state/state_20200105_000000.json,ok,
3,forward_advance,3,2026-07-27T16:23:52.218Z,2026-07-27T16:24:03.708Z,11.49000000,43835.00000000,43836.00000000,1.00000000,/home/arash/Projects/DrywellDT/deployments/Bioretention_truth_drift/state/_current_input.json,/home/arash/Projects/DrywellDT/deployments/Bioretention_truth_drift/state/state_20200106_000000.json,ok,
4,forward_advance,4,2026-07-27T16:31:04.186Z,2026-07-27T16:31:13.759Z,9.57300000,43836.00000000,43837.00000000,1.00000000,/home/arash/Projects/DrywellDT/deployments/Bioretention_truth_drift/state/_current_input.json,/home/arash/Projects/DrywellDT/deployments/Bioretention_truth_drift/state/state_20200107_000000.json,ok,
5,forward_advance,5,2026-07-27T16:38:16.217Z,2026-07-27T16:38:24.804Z,8.58700000,43837.00000000,43838.00000000,1.00000000,/home/arash/Projects/DrywellDT/deployments/Bioretention_truth_drift/state/_current_input.json,/home/arash/Projects/DrywellDT/deployments/Bioretention_truth_drift/state/state_20200108_000000.json,ok,
6,forward_advance,6,2026-07-27T16:45:28.214Z,2026-07-27T16:45:37.948Z,9.73400000,43838.00000000,43839.00000000,1.00000000,/home/arash/Projects/DrywellDT/deployments/Bioretention_truth_drift/state/_current_input.json,/home/arash/Projects/DrywellDT/deployments/Bioretention_truth_drift/state/state_20200109_000000.json,ok,
7,forward_advance,7,2026-07-27T16:52:40.219Z,2026-07-27T16:52:49.890Z,9.67100000,43839.00000000,43840.00000000,1.00000000,/home/arash/Projects/DrywellDT/deployments/Bioretention_truth_drift/state/_current_input.json,/home/arash/Projects/DrywellDT/deployments/Bioretention_truth_drift/state/state_20200110_000000.json,ok,
8,forward_advance,8,2026-07-27T16:59:52.218Z,2026-07-27T17:00:04.549Z,12.33100000,43840.00000000,43841.00000000,1.00000000,/home/arash/Projects/DrywellDT/deployments/Bioretention_truth_drift/state/_current_input.json,/home/arash/Projects/DrywellDT/deployments/Bioretention_truth_drift/state/state_20200111_000000.json,ok,
9,forward_advance,9,2026-07-27T17:07:04.213Z,2026-07-27T17:07:12.569Z,8.35600000,43841.00000000,43842.00000000,1.00000000,/home/arash/Projects/DrywellDT/deployments/Bioretention_truth_drift/state/_current_input.json,/home/arash/Projects/DrywellDT/deployments/Bioretention_truth_drift/state/state_20200112_000000.json,ok,
10,forward_advance,10,2026-07-27T17:14:16.169Z,2026-07-27T17:14:25.850Z,9.68100000,43842.00000000,43843.00000000,1.00000000,/home/arash/Projects/DrywellDT/deployments/Bioretention_truth_drift/state/_current_input.json,/home/arash/Projects/DrywellDT/deployments/Bioretention_truth_drift/state/state_20200113_000000.json,ok,
11,forward_advance,11,2026-07-27T17:21:28.153Z,2026-07-27T17:21:38.200Z,10.04700000,43843.00000000,43844.00000000,1.00000000,/home/arash/Projects/DrywellDT/deployments/Bioretention_truth_drift/state/_current_input.json,/home/arash/Projects/DrywellDT/deployments/Bioretention_truth_drift/state/state_20200114_000000.json,ok,
12,forward_advance,12,2026-07-27T17:28:40.205Z,2026-07-27T17:28:48.494Z,8.28900000,43844.00000000,43845.00000000,1.00000000,/home/arash/Projects/DrywellDT/deployments/Bioretention_truth_drift/state/_current_input.json,/home/arash/Projects/DrywellDT/deployments/Bioretention_truth_drift/state/state_20200115_000000.json,ok,
13,forward_advance,13,2026-07-27T17:35:52.218Z,2026-07-27T17:35:58.999Z,6.78100000,43845.00000000,43846.00000000,1.00000000,/home/arash/Projects/DrywellDT/deployments/Bioretention_truth_drift/state/_current_input.json,/home/arash/Projects/DrywellDT/deployments/Bioretention_truth_drift/state/state_20200116_000000.json,ok,
14,forward_advance,14,2026-07-27T17:43:04.218Z,2026-07-27T17:43:08.294Z,4.07600000,43846.00000000,43847.00000000,1.00000000,/home/arash/Projects/DrywellDT/deployments/Bioretention_truth_drift/state/_current_input.json,/home/arash/Projects/DrywellDT/deployments/Bioretention_truth_drift/state/state_20200117_000000.json,ok,
15,forward_advance,15,2026-07-27T17:50:16.218Z,2026-07-27T17:50:19.372Z,3.15400000,43847.00000000,43848.00000000,1.00000000,/home/arash/Projects/DrywellDT/deployments/Bioretention_truth_drift/state/_current_input.json,/home/arash/Projects/DrywellDT/deployments/Bioretention_truth_drift/state/state_20200118_000000.json,ok,
16,forward_advance,16,2026-07-27T17:57:28.218Z,2026-07-27T17:57:33.705Z,5.48700000,43848.00000000,43849.00000000,1.00000000,/home/arash/Projects/DrywellDT/deployments/Bioretention_truth_drift/state/_current_input.json,/home/arash/Projects/DrywellDT/deployments/Bioretention_truth_drift/state/state_20200119_000000.json,ok,
17,forward_advance,17,2026-07-27T18:04:40.218Z,2026-07-27T18:04:49.410Z,9.19200000,43849.00000000,43850.00000000,1.00000000,/home/arash/Projects/DrywellDT/deployments/Bioretention_truth_drift/state/_current_input.json,/home/arash/Projects/DrywellDT/deployments/Bioretention_truth_drift/state/state_20200120_000000.json,ok,
18,forward_advance,18,2026-07-27T18:11:52.212Z,2026-07-27T18:12:00.821Z,8.60900000,43850.00000000,43851.00000000,1.00000000,/home/arash/Projects/DrywellDT/deployments/Bioretention_truth_drift/state/_current_input.json,/home/arash/Projects/DrywellDT/deployments/Bioretention_truth_drift/state/state_20200121_000000.json,ok,
