t, Evaporation,t, Groundwater Recharge (m3/day),t, Infiltration rate (m3/day),t, Inflow to the pond (m3/day),t, Overflow (m3/day),t, Pond water depth (m),t, Precipitation (mm/day),t, Soil Moisture,t, Underdrain flow (m3/day)
43833.00000,0.00159563,43833.00000,0.0172807,43833.00000,4.1903e-06,43833.00000,5.79603e-05,43833.00000,0,43833.00000,4.69545e-07,43833.00000,0,43833.00000,0.348979,43833.00000,0
43833.04167,0.00231039,43833.04167,0.0172806,43833.04167,1.42096e-05,43833.04167,5.67989e-05,43833.04167,0,43833.04167,8.85089e-07,43833.04167,0,43833.04167,0.337408,43833.04167,0
43833.08333,0.0027311,43833.08333,0.0172811,43833.08333,2.74902e-05,43833.08333,5.53278e-05,43833.08333,0,43833.08333,1.116e-06,43833.08333,0,43833.08333,0.337414,43833.08333,0
43833.12500,0.00285426,43833.12500,0.0172819,43833.12500,3.59927e-05,43833.12500,5.4148e-05,43833.12500,0,43833.12500,1.27213e-06,43833.12500,0,43833.12500,0.325015,43833.12500,0
43833.16667,0.00277718,43833.16667,0.017283,43833.16667,4.13779e-05,43833.16667,5.31105e-05,43833.16667,0,43833.16667,1.3539e-06,43833.16667,0,43833.16667,0.333629,43833.16667,0
43833.20833,0.00258303,43833.20833,0.0172836,43833.20833,0.000163081,43833.20833,0.00071451,43833.20833,0,43833.20833,2.60137e-06,43833.20833,0.025259,43833.20833,0.335923,43833.20833,0
43833.25000,0.0018364,43833.25000,0.0172846,43833.25000,1.14475,43833.25000,1.21306,43833.25000,0,43833.25000,0.000258473,43833.25000,2.4,43833.25000,0.33774,43833.25000,0
43833.29167,0.000792621,43833.29167,0.0172863,43833.29167,13.2084,43833.29167,13.3615,43833.29167,0,43833.29167,0.00116755,43833.29167,9.6,43833.29167,0.329976,43833.29167,0
43833.33333,0.00038182,43833.33333,0.0172883,43833.33333,27.1721,43833.33333,27.233,43833.33333,0,43833.33333,0.002368,43833.33333,14.4,43833.33333,0.327714,43833.33333,0
43833.37500,0.000266752,43833.37500,0.0172906,43833.37500,40.9998,43833.37500,41.2628,43833.37500,0,43833.37500,0.00350356,43833.37500,22.8,43833.37500,0.330214,43833.37500,0
43833.41667,0.000210286,43833.41667,0.0172931,43833.41667,62.992,43833.41667,63.1284,43833.41667,0,43833.41667,0.00589215,43833.41667,32.4,43833.41667,0.355202,43833.41667,0
43833.45833,0.000274416,43833.45833,0.017296,43833.45833,50.54,43833.45833,50.027,43833.45833,0,43833.45833,0.00525886,43833.45833,22.8,43833.45833,0.356523,43833.45833,0
43833.50000,0.000215174,43833.50000,0.0172992,43833.50000,18.1924,43833.50000,17.9133,43833.50000,0,43833.50000,0.00211884,43833.50000,6,43833.50000,0.361264,43833.50000,0
43833.54167,0.011228,43833.54167,0.0173027,43833.54167,8.34639,43833.54167,8.39249,43833.54167,0,43833.54167,0.00118843,43833.54167,4.8,43833.54167,0.367497,43833.54167,0
43833.58333,0.121907,43833.58333,0.0173066,43833.58333,17.5846,43833.58333,17.629,43833.58333,0,43833.58333,0.00201654,43833.58333,9.6,43833.58333,0.388796,43833.58333,0
43833.62500,0.179066,43833.62500,0.0173126,43833.62500,18.8696,43833.62500,18.8586,43833.62500,0,43833.62500,0.00193005,43833.62500,9.37872,43833.62500,0.385623,43833.62500,0
43833.66667,0.518611,43833.66667,0.0173152,43833.66667,13.1528,43833.66667,13.013,43833.66667,0,43833.66667,0.00137939,43833.66667,4.8,43833.66667,0.39343,43833.66667,0
43833.70833,0.429389,43833.70833,0.0173345,43833.70833,0.709906,43833.70833,0.682188,43833.70833,0,43833.70833,0.000201664,43833.70833,0.0646154,43833.70833,0.38612,43833.70833,0
43833.75000,0.415895,43833.75000,0.017335,43833.75000,0.727422,43833.75000,0.711674,43833.75000,0,43833.75000,0.000217315,43833.75000,0.218462,43833.75000,0.39046,43833.75000,0
43833.79167,0.402401,43833.79167,0.0173354,43833.79167,0.744939,43833.79167,0.741159,43833.79167,0,43833.79167,0.000217831,43833.79167,0.372308,43833.79167,0.372413,43833.79167,0
