cycle,timestamp,t_now,EngineeredSoilAlpha,EngineeredSoilKsat,EngineeredSoiln,NativeSoilKsat,NativeSoiln,RunoffCoeff,Std_PondWaterDepth,Std_SoilMoisture,Std_UnderdrainFlow
1,2026-07-10T16:42:14Z,43837.000000,1.3666,11.394,1.38619,0.0897557,1.6785,0.814776,0.000378255,0.0273441,1.50995
2,2026-07-10T17:04:31Z,43840.000000,1.85151,10.9142,1.25055,0.0381606,1.15807,0.579494,0.000386123,0.0315032,10.8802
3,2026-07-10T17:26:30Z,43843.000000,1.32764,7.65392,1.33843,0.00590796,1.56,0.505698,0.000382555,0.0296652,7.8218
4,2026-07-10T17:48:43Z,43846.000000,1.52217,10.213,1.25453,0.0391747,1.06498,0.574,0.000348858,0.0285343,8.23366
5,2026-07-10T18:11:02Z,43849.000000,1.40263,10.2159,1.27992,0.0145799,1.15778,0.606971,0.000451319,0.0258542,7.57043
6,2026-07-10T18:33:33Z,43852.000000,1.43865,8.89782,1.25513,0.0655112,1.00037,0.494844,0.000560244,0.0284938,7.2912
7,2026-07-10T18:55:12Z,43855.000000,1.44842,10.2875,1.23695,0.0052881,1.38976,0.564103,0.00041733,0.0296608,7.01391
8,2026-07-10T19:17:52Z,43858.000000,1.222,9.85958,1.26721,0.032973,1.12138,0.680903,0.000794888,0.0285458,7.43375
9,2026-07-10T19:39:44Z,43861.000000,1.222,9.85958,1.26721,0.032973,1.12138,0.680903,0.000794888,0.0285458,7.43375
10,2026-07-10T20:02:11Z,43864.000000,1.222,9.85958,1.26721,0.032973,1.12138,0.680903,0.000794888,0.0285458,7.43375
11,2026-07-10T20:24:50Z,43867.000000,1.222,9.85958,1.26721,0.032973,1.12138,0.680903,0.000794888,0.0285458,7.43375
12,2026-07-10T20:48:00Z,43870.000000,1.02235,10.3823,1.31707,0.00996837,1.34373,0.760205,0.00113143,0.0330706,8.32965
13,2026-07-10T21:10:40Z,43873.000000,1.05715,9.65686,1.32096,0.00716367,1.523,0.727454,0.00126184,0.0310183,8.07654
14,2026-07-10T21:33:26Z,43876.000000,1.01268,10.1141,1.31648,0.0224031,1.17604,0.749629,0.00127763,0.0269113,7.14339
