run_id,type,cycle,start_utc,end_utc,elapsed_sec,sim_start_serial,sim_end_serial,sim_days,initial_state_path,output_state_path,status,notes
1,forward_advance,1,2026-07-10T16:18:01.609Z,2026-07-10T16:18:05.275Z,3.66600000,43833.00000000,43834.00000000,1.00000000,(cold start from script),/home/arash/Projects/DrywellDT/deployments/Bioretention_assimilation_MCMC_drift/state/state_20200104_000000.json,ok,
2,forward_forecast,1,2026-07-10T16:18:05.276Z,2026-07-10T16:18:11.252Z,5.97600000,43833.00000000,43840.00000000,7.00000000,(cold start from script),,ok,
3,assim_calibration,1,2026-07-10T16:39:37.373Z,2026-07-10T16:42:14.708Z,157.33500000,43833.00000000,43837.00000000,4.00000000,/home/arash/Projects/DrywellDT/deployments/Bioretention_assimilation_MCMC_drift/state/state_20200104_000000.json,/home/arash/Projects/DrywellDT/deployments/Bioretention_assimilation_MCMC_drift/outputs/calibration/state_calibrated_latest.json,ok,MCMC provisional (plateaued=0)
4,forward_advance,2,2026-07-10T16:46:49.339Z,2026-07-10T16:46:56.934Z,7.59500000,43834.00000000,43837.00000000,3.00000000,/home/arash/Projects/DrywellDT/deployments/Bioretention_assimilation_MCMC_drift/state/_current_input.json,/home/arash/Projects/DrywellDT/deployments/Bioretention_assimilation_MCMC_drift/state/state_20200107_000000.json,ok,
5,forward_forecast,2,2026-07-10T16:46:56.935Z,2026-07-10T16:46:59.841Z,2.90600000,43834.00000000,43841.00000000,7.00000000,/home/arash/Projects/DrywellDT/deployments/Bioretention_assimilation_MCMC_drift/state/_current_input.json,,ok,
6,forward_advance,3,2026-07-10T17:01:13.302Z,2026-07-10T17:01:17.485Z,4.18300000,43837.00000000,43840.00000000,3.00000000,/home/arash/Projects/DrywellDT/deployments/Bioretention_assimilation_MCMC_drift/state/_current_input.json,/home/arash/Projects/DrywellDT/deployments/Bioretention_assimilation_MCMC_drift/state/state_20200110_000000.json,ok,
7,forward_forecast,3,2026-07-10T17:01:17.486Z,2026-07-10T17:01:23.248Z,5.76200000,43837.00000000,43844.00000000,7.00000000,/home/arash/Projects/DrywellDT/deployments/Bioretention_assimilation_MCMC_drift/state/_current_input.json,,ok,
8,assim_calibration,2,2026-07-10T17:01:13.301Z,2026-07-10T17:04:31.905Z,198.60400000,43833.00000000,43840.00000000,7.00000000,/home/arash/Projects/DrywellDT/deployments/Bioretention_assimilation_MCMC_drift/state/state_20200107_000000.json,/home/arash/Projects/DrywellDT/deployments/Bioretention_assimilation_MCMC_drift/outputs/calibration/state_calibrated_latest.json,ok,MCMC provisional (plateaued=0)
9,assim_calibration,3,2026-07-10T17:22:49.300Z,2026-07-10T17:26:30.647Z,221.34700000,43833.00000000,43843.00000000,10.00000000,/home/arash/Projects/DrywellDT/deployments/Bioretention_assimilation_MCMC_drift/state/state_20200110_000000.json,/home/arash/Projects/DrywellDT/deployments/Bioretention_assimilation_MCMC_drift/outputs/calibration/state_calibrated_latest.json,ok,MCMC provisional (plateaued=0)
10,forward_advance,4,2026-07-10T17:30:01.278Z,2026-07-10T17:30:04.571Z,3.29300000,43840.00000000,43843.00000000,3.00000000,/home/arash/Projects/DrywellDT/deployments/Bioretention_assimilation_MCMC_drift/state/_current_input.json,/home/arash/Projects/DrywellDT/deployments/Bioretention_assimilation_MCMC_drift/state/state_20200113_000000.json,ok,
