t, Precipitation (mm/day),t, Wetland inflow (m3/day),t, Wetland inlet stage (m),t, Wetland mid-stage (m),t, Wetland outlet stage (m),t, Wetland outflow (m3/day),t, Wetland Cell 1 Water depth (m),t, Wetland Cell 6 Water depth (m),t, HRT
43833.00000,0,43833.00000,0,43833.00000,0.79931,43833.00000,0.86031,43833.00000,0.91331,43833.00000,0,43833.00000,0.786476,43833.00000,0.860757,43833.00000,0.0232856
43833.04167,0,43833.04167,0,43833.04167,0.798467,43833.04167,0.859467,43833.04167,0.912467,43833.04167,0,43833.04167,0.886856,43833.04167,0.875601,43833.04167,0.0654373
43833.08333,0,43833.08333,0,43833.08333,0.797357,43833.08333,0.858357,43833.08333,0.911357,43833.08333,0,43833.08333,0.818528,43833.08333,0.828089,43833.08333,0.12086
43833.12500,0,43833.12500,0,43833.12500,0.796438,43833.12500,0.857438,43833.12500,0.910438,43833.12500,0,43833.12500,0.821932,43833.12500,0.780568,43833.12500,0.166763
43833.16667,0,43833.16667,0,43833.16667,0.795605,43833.16667,0.856605,43833.16667,0.909605,43833.16667,0,43833.16667,0.806061,43833.16667,0.753966,43833.16667,0.208316
43833.20833,0.025259,43833.20833,0,43833.20833,0.795194,43833.20833,0.856194,43833.20833,0.909194,43833.20833,0,43833.20833,0.846626,43833.20833,0.777382,43833.20833,0.228848
43833.25000,2.4,43833.25000,0,43833.25000,0.794621,43833.25000,0.855621,43833.25000,0.908621,43833.25000,0,43833.25000,0.835157,43833.25000,0.841786,43833.25000,0.25934
43833.29167,9.6,43833.29167,0,43833.29167,0.794053,43833.29167,0.855053,43833.29167,0.908053,43833.29167,0,43833.29167,0.760818,43833.29167,0.957682,43833.29167,0.300785
43833.33333,14.4,43833.33333,0,43833.33333,0.793787,43833.33333,0.854787,43833.33333,0.907787,43833.33333,0,43833.33333,0.756854,43833.33333,0.85677,43833.33333,0.341994
43833.37500,22.8,43833.37500,0,43833.37500,0.793701,43833.37500,0.854701,43833.37500,0.907701,43833.37500,0,43833.37500,0.722598,43833.37500,0.788785,43833.37500,0.383011
43833.41667,32.4,43833.41667,169.076,43833.41667,0.794903,43833.41667,0.85589,43833.41667,0.908885,43833.41667,0,43833.41667,0.819286,43833.41667,0.769785,43833.41667,0.423516
43833.45833,22.8,43833.45833,844.436,43833.45833,0.805981,43833.45833,0.866915,43833.45833,0.919895,43833.45833,0.286787,43833.45833,0.761984,43833.45833,0.862793,43833.45833,0.463876
43833.50000,6,43833.50000,525.361,43833.50000,0.816141,43833.50000,0.877101,43833.50000,0.930088,43833.50000,2.71235,43833.50000,0.765086,43833.50000,0.832369,43833.50000,0.504877
43833.54167,4.8,43833.54167,281.071,43833.54167,0.820488,43833.54167,0.881466,43833.54167,0.934459,43833.54167,5.55557,43833.54167,0.80228,43833.54167,0.796612,43833.54167,0.546294
43833.58333,9.6,43833.58333,366.855,43833.58333,0.825011,43833.58333,0.885984,43833.58333,0.938973,43833.58333,9.42053,43833.58333,0.836789,43833.58333,0.818967,43833.58333,0.587406
43833.62500,9.37872,43833.62500,411.286,43833.62500,0.832744,43833.62500,0.893713,43833.62500,0.946701,43833.62500,18.1245,43833.62500,0.78802,43833.62500,0.844603,43833.62500,0.646398
43833.66667,4.8,43833.66667,339.091,43833.66667,0.835272,43833.66667,0.896246,43833.66667,0.949235,43833.66667,19.915,43833.66667,0.778665,43833.66667,0.886076,43833.66667,0.670124
43833.70833,0.0646154,43833.70833,59.6179,43833.70833,0.83462,43833.70833,0.895614,43833.70833,0.948609,43833.70833,19.4756,43833.70833,0.765897,43833.70833,0.844574,43833.70833,0.815188
43833.75000,0.218462,43833.75000,58.4609,43833.75000,0.834579,43833.75000,0.895574,43833.75000,0.948569,43833.75000,19.294,43833.75000,0.803317,43833.75000,0.952158,43833.75000,0.818392
43833.79167,0.372308,43833.79167,57.3038,43833.79167,0.834539,43833.79167,0.895534,43833.79167,0.948529,43833.79167,18.5089,43833.79167,0.820561,43833.79167,0.950256,43833.79167,0.821596
43833.83333,1.2,43833.83333,57.3589,43833.83333,0.834385,43833.83333,0.895379,43833.83333,0.948375,43833.83333,20.7495,43833.83333,0.788565,43833.83333,1.00909,43833.83333,0.836317
43833.87500,3.6,43833.87500,90.4286,43833.87500,0.834354,43833.87500,0.895346,43833.87500,0.948341,43833.87500,22.2066,43833.87500,0.825374,43833.87500,0.958081,43833.87500,0.877779
43833.91667,7.2,43833.91667,183.441,43833.91667,0.835521,43833.91667,0.896507,43833.91667,0.949499,43833.91667,24.643,43833.91667,0.825855,43833.91667,0.902642,43833.91667,0.919028
43833.95833,6,43833.95833,268.147,43833.95833,0.838489,43833.95833,0.899468,43833.95833,0.952457,43833.95833,31.4296,43833.95833,0.837656,43833.95833,0.815537,43833.95833,0.9601
43834.00000,3.84,43834.00000,211.898,43834.00000,0.840811,43834.00000,0.901794,43834.00000,0.954784,43834.00000,37.7671,43834.00000,0.895025,43834.00000,0.846743,43834.00000,1.00142
43834.00000,2.4,43834.00000,183.452,43834.00000,0.841638,43834.00000,0.902623,43834.00000,0.955614,43834.00000,39.7169,43834.00000,0.895906,43834.00000,0.847479,43834.00000,1.02217
43834.04167,13.2,43834.04167,309.267,43834.04167,0.843509,43834.04167,0.904484,43834.04167,0.957472,43834.04167,40.3316,43834.04167,0.87226,43834.04167,0.832782,43834.04167,1.05332
43834.08333,21.6,43834.08333,778.822,43834.08333,0.852327,43834.08333,0.913269,43834.08333,0.966242,43834.08333,62.5163,43834.08333,0.89267,43834.08333,0.889024,43834.08333,1.09307
43834.12500,10.8,43834.12500,669.988,43834.12500,0.862288,43834.12500,0.923236,43834.12500,0.976208,43834.12500,94.5391,43834.12500,0.924615,43834.12500,0.933587,43834.12500,1.13313
43834.16667,9.6,43834.16667,435.9,43834.16667,0.867066,43834.16667,0.92803,43834.16667,0.981004,43834.16667,106.97,43834.16667,0.970311,43834.16667,0.979651,43834.16667,1.17405
43834.20833,14.4,43834.20833,598.441,43834.20833,0.873038,43834.20833,0.93399,43834.20833,0.986957,43834.20833,142.948,43834.20833,1.00022,43834.20833,0.953125,43834.20833,1.21438
43834.25000,12.0373,43834.25000,555.079,43834.25000,0.880099,43834.25000,0.941052,43834.25000,0.994015,43834.25000,183.451,43834.25000,0.98254,43834.25000,1.02765,43834.25000,1.2674
43834.29167,15.6,43834.29167,617.185,43834.29167,0.883861,43834.29167,0.944809,43834.29167,0.997768,43834.29167,191.688,43834.29167,0.979872,43834.29167,1.05745,43834.29167,1.2952
