run_id,type,cycle,start_utc,end_utc,elapsed_sec,sim_start_serial,sim_end_serial,sim_days,initial_state_path,output_state_path,status,notes
1,forward_advance,1,2026-08-16T17:20:49.266Z,2026-08-16T17:20:56.241Z,6.97500000,43833.00000000,43834.00000000,1.00000000,(cold start from script),/home/arash/Projects/DrywellDT/deployments/Wetland_assimilation_MCMC/state/state_20200104_000000.json,ok,
2,forward_forecast,1,2026-08-16T17:20:56.243Z,2026-08-16T17:21:04.316Z,8.07300000,43833.00000000,43840.00000000,7.00000000,(cold start from script),,ok,
3,forward_advance,2,2026-08-16T17:49:37.206Z,2026-08-16T17:49:44.706Z,7.50000000,43834.00000000,43837.00000000,3.00000000,/home/arash/Projects/DrywellDT/deployments/Wetland_assimilation_MCMC/state/_current_input.json,/home/arash/Projects/DrywellDT/deployments/Wetland_assimilation_MCMC/state/state_20200107_000000.json,ok,
4,forward_forecast,2,2026-08-16T17:49:44.707Z,2026-08-16T17:49:51.893Z,7.18600000,43834.00000000,43841.00000000,7.00000000,/home/arash/Projects/DrywellDT/deployments/Wetland_assimilation_MCMC/state/_current_input.json,,ok,
5,assim_calibration,1,2026-08-16T17:42:25.217Z,2026-08-16T17:50:24.491Z,479.27400000,43833.00000000,43837.00000000,4.00000000,/home/arash/Projects/DrywellDT/deployments/Wetland_assimilation_MCMC/state/state_20200104_000000.json,/home/arash/Projects/DrywellDT/deployments/Wetland_assimilation_MCMC/outputs/calibration/state_calibrated_20260816_175024.json,ok,MCMC provisional (plateaued=0)
6,forward_advance,3,2026-08-16T18:04:01.148Z,2026-08-16T18:04:08.854Z,7.70600000,43837.00000000,43840.00000000,3.00000000,/home/arash/Projects/DrywellDT/deployments/Wetland_assimilation_MCMC/state/_current_input.json,/home/arash/Projects/DrywellDT/deployments/Wetland_assimilation_MCMC/state/state_20200110_000000.json,ok,
7,forward_forecast,3,2026-08-16T18:04:08.855Z,2026-08-16T18:04:16.473Z,7.61800000,43837.00000000,43844.00000000,7.00000000,/home/arash/Projects/DrywellDT/deployments/Wetland_assimilation_MCMC/state/_current_input.json,,ok,
8,assim_calibration,2,2026-08-16T18:04:01.146Z,2026-08-16T18:15:21.256Z,680.11000000,43833.00000000,43840.00000000,7.00000000,/home/arash/Projects/DrywellDT/deployments/Wetland_assimilation_MCMC/state/state_20200107_000000.json,/home/arash/Projects/DrywellDT/deployments/Wetland_assimilation_MCMC/outputs/calibration/state_calibrated_20260816_181521.json,ok,MCMC converged (ess=61.9604)
9,forward_advance,4,2026-08-16T18:25:37.126Z,2026-08-16T18:25:45.993Z,8.86700000,43840.00000000,43843.00000000,3.00000000,/home/arash/Projects/DrywellDT/deployments/Wetland_assimilation_MCMC/state/_current_input.json,/home/arash/Projects/DrywellDT/deployments/Wetland_assimilation_MCMC/state/state_20200113_000000.json,ok,
10,forward_forecast,4,2026-08-16T18:25:45.994Z,2026-08-16T18:25:53.686Z,7.69200000,43840.00000000,43847.00000000,7.00000000,/home/arash/Projects/DrywellDT/deployments/Wetland_assimilation_MCMC/state/_current_input.json,,ok,
11,assim_calibration,3,2026-08-16T18:25:37.124Z,2026-08-16T18:39:47.129Z,850.00500000,43833.00000000,43843.00000000,10.00000000,/home/arash/Projects/DrywellDT/deployments/Wetland_assimilation_MCMC/state/state_20200110_000000.json,/home/arash/Projects/DrywellDT/deployments/Wetland_assimilation_MCMC/outputs/calibration/state_calibrated_20260816_183947.json,ok,MCMC provisional (plateaued=0)
12,forward_advance,5,2026-08-16T18:54:25.207Z,2026-08-16T18:54:34.177Z,8.97000000,43843.00000000,43846.00000000,3.00000000,/home/arash/Projects/DrywellDT/deployments/Wetland_assimilation_MCMC/state/_current_input.json,/home/arash/Projects/DrywellDT/deployments/Wetland_assimilation_MCMC/state/state_20200116_000000.json,ok,
13,forward_forecast,5,2026-08-16T18:54:34.178Z,2026-08-16T18:54:41.487Z,7.30900000,43843.00000000,43850.00000000,7.00000000,/home/arash/Projects/DrywellDT/deployments/Wetland_assimilation_MCMC/state/_current_input.json,,ok,
14,assim_calibration,4,2026-08-16T18:47:13.148Z,2026-08-16T19:04:05.548Z,1012.40000000,43833.00000000,43846.00000000,13.00000000,/home/arash/Projects/DrywellDT/deployments/Wetland_assimilation_MCMC/state/state_20200113_000000.json,/home/arash/Projects/DrywellDT/deployments/Wetland_assimilation_MCMC/outputs/calibration/state_calibrated_20260816_190405.json,ok,MCMC provisional (plateaued=0)
