t, Obs_Wetland Cell 6 Water depth (m)_expression
40178.80000,0.912936
40178.81000,0.913543
40178.82000,0.913409
40178.83000,0.913276
40178.84000,0.913143
40178.85000,0.913009
40178.86000,0.912876
40178.87000,0.912743
40178.88000,0.91261
40178.89000,0.912476
40178.90000,0.912355
40178.91000,0.912255
40178.92000,0.912155
40178.93000,0.912055
40178.94000,0.911955
40178.95000,0.911855
40178.96000,0.911755
40178.97000,0.911655
40178.98000,0.911555
40178.99000,0.911455
40179.00000,0.911355
40179.01000,0.911255
40179.02000,0.911155
40179.03000,0.911055
40179.04000,0.910955
40179.05000,0.910855
40179.06000,0.910755
40179.07000,0.910655
40179.08000,0.910555
40179.09000,0.910456
40179.10000,0.910356
40179.11000,0.910256
40179.12000,0.910156
40179.13000,0.910056
40179.14000,0.909956
40179.15000,0.909856
40179.16000,0.909756
40179.17000,0.909656
40179.18000,0.909556
40179.19000,0.909456
40179.20000,0.909356
40179.21000,0.909256
40179.22000,0.909156
40179.23000,0.909056
40179.24000,0.908956
40179.25000,0.908856
40179.26000,0.908756
40179.27000,0.908656
40179.28000,0.908554
40179.29000,0.908449
40179.30000,0.908344
40179.31000,0.908239
40179.32000,0.908125
40179.33000,0.907974
40179.34000,0.907823
40179.35000,0.907673
40179.36000,0.907522
40179.37000,0.907319
40179.38000,0.907117
40179.39000,0.906914
40179.40000,0.906712
40179.41000,0.906478
40179.42000,0.906235
40179.43000,0.905993
40179.44000,0.905751
40179.45000,0.905496
40179.46000,0.905232
40179.47000,0.904968
40179.48000,0.904705
40179.49000,0.90444
40179.50000,0.904175
40179.51000,0.903911
40179.52000,0.903646
40179.53000,0.903384
40179.54000,0.903139
40179.55000,0.902894
40179.56000,0.902649
40179.57000,0.902404
40179.58000,0.902195
40179.59000,0.901989
40179.60000,0.901782
40179.61000,0.901576
40179.62000,0.901406
40179.63000,0.90125
40179.64000,0.901094
40179.65000,0.900937
40179.66000,0.900804
40179.67000,0.900691
40179.68000,0.900579
40179.69000,0.900466
40179.70000,0.900357
40179.71000,0.900257
40179.72000,0.900156
40179.73000,0.900056
40179.74000,0.899955
40179.75000,0.899855
40179.76000,0.899754
40179.77000,0.899654
40179.78000,0.899553
40179.79000,0.899452
40179.80000,0.899352
40179.81000,0.899251
40179.82000,0.899151
40179.83000,0.89905
40179.84000,0.89895
40179.85000,0.898849
40179.86000,0.898749
40179.87000,0.898648
40179.88000,0.898547
40179.89000,0.898447
40179.90000,0.898346
40179.91000,0.898246
40179.92000,0.898145
40179.93000,0.898045
40179.94000,0.897944
40179.95000,0.897843
40179.96000,0.897743
40179.97000,0.897642
40179.98000,0.897542
40179.99000,0.897441
40180.00000,0.89734
40180.01000,0.89724
40180.02000,0.897139
40180.03000,0.897038
40180.04000,0.896937
40180.05000,0.896837
40180.06000,0.896736
40180.07000,0.896636
40180.08000,0.896535
40180.09000,0.896434
40180.10000,0.896334
40180.11000,0.896233
40180.12000,0.896132
40180.13000,0.896032
40180.14000,0.895931
40180.15000,0.89583
40180.16000,0.89573
40180.17000,0.895629
40180.18000,0.895528
40180.19000,0.895428
40180.20000,0.895327
40180.21000,0.895227
40180.22000,0.895126
40180.23000,0.895025
40180.24000,0.894925
40180.25000,0.894824
40180.26000,0.894723
40180.27000,0.894622
40180.28000,0.894522
40180.29000,0.894417
40180.30000,0.894302
40180.31000,0.894186
40180.32000,0.894071
40180.33000,0.893952
40180.34000,0.893783
40180.35000,0.893614
40180.36000,0.893445
40180.37000,0.893276
40180.38000,0.893063
40180.39000,0.892844
40180.40000,0.892624
40180.41000,0.892405
40180.42000,0.892162
40180.43000,0.891906
40180.44000,0.89165
40180.45000,0.891395
40180.46000,0.891132
40180.47000,0.89086
40180.48000,0.890588
40180.49000,0.890315
40180.50000,0.890044
40180.51000,0.889778
40180.52000,0.889511
40180.53000,0.889244
40180.54000,0.888977
40180.55000,0.888736
40180.56000,0.888495
40180.57000,0.888254
40180.58000,0.888013
40180.59000,0.887806
40180.60000,0.887608
40180.61000,0.88741
40180.62000,0.887212
40180.63000,0.887044
40180.64000,0.886899
40180.65000,0.886753
40180.66000,0.886608
40180.67000,0.886479
40180.68000,0.886377
40180.69000,0.886275
40180.70000,0.886173
40180.71000,0.886071
40180.72000,0.88597
40180.73000,0.885869
40180.74000,0.885767
40180.75000,0.885666
40180.76000,0.885533
40180.77000,0.885399
40180.78000,0.885264
40180.79000,0.885129
40180.80000,0.884994
40180.81000,0.88486
40180.82000,0.884725
40180.83000,0.884591
40180.84000,0.884456
40180.85000,0.884321
40180.86000,0.884187
40180.87000,0.884052
40180.88000,0.883918
40180.89000,0.883783
40180.90000,0.883649
40180.91000,0.883514
40180.92000,0.88338
40180.93000,0.883245
40180.94000,0.88311
40180.95000,0.882976
40180.96000,0.882841
40180.97000,0.882706
40180.98000,0.882572
40180.99000,0.882437
40181.00000,0.882302
40181.01000,0.882167
40181.02000,0.882033
40181.03000,0.881898
40181.04000,0.881763
40181.05000,0.881628
40181.06000,0.881494
40181.07000,0.881359
40181.08000,0.881224
40181.09000,0.881089
40181.10000,0.880954
40181.11000,0.88082
40181.12000,0.880685
40181.13000,0.88055
40181.14000,0.880415
40181.15000,0.880281
40181.16000,0.88015
40181.17000,0.880028
40181.18000,0.879907
40181.19000,0.879785
40181.20000,0.879664
40181.21000,0.879542
40181.22000,0.879421
40181.23000,0.879299
40181.24000,0.879178
40181.25000,0.879056
40181.26000,0.878935
40181.27000,0.878813
40181.28000,0.878692
40181.29000,0.87857
40181.30000,0.878449
40181.31000,0.878327
40181.32000,0.878206
40181.33000,0.878084
40181.34000,0.87788
40181.35000,0.87761
40181.36000,0.877339
40181.37000,0.877069
40181.38000,0.876798
40181.39000,0.876527
40181.40000,0.876257
40181.41000,0.875986
40181.42000,0.875716
40181.43000,0.875445
40181.44000,0.875174
40181.45000,0.874904
40181.46000,0.874633
40181.47000,0.874363
40181.48000,0.874092
40181.49000,0.873822
40181.50000,0.873551
40181.51000,0.87328
40181.52000,0.873129
40181.53000,0.873008
40181.54000,0.872888
40181.55000,0.872767
40181.56000,0.872646
40181.57000,0.872525
40181.58000,0.872405
40181.59000,0.872284
40181.60000,0.872163
40181.61000,0.872042
40181.62000,0.871922
40181.63000,0.871801
40181.64000,0.87168
40181.65000,0.871559
40181.66000,0.871439
40181.67000,0.871318
40181.68000,0.871197
40181.69000,0.871077
40181.70000,0.870976
40181.71000,0.870875
40181.72000,0.870774
40181.73000,0.870673
40181.74000,0.870572
40181.75000,0.870471
40181.76000,0.87037
40181.77000,0.870269
40181.78000,0.870168
40181.79000,0.870067
40181.80000,0.869966
40181.81000,0.869864
40181.82000,0.869763
40181.83000,0.869662
40181.84000,0.869561
40181.85000,0.86946
40181.86000,0.869359
40181.87000,0.869258
40181.88000,0.869157
40181.89000,0.869056
40181.90000,0.868955
40181.91000,0.868854
40181.92000,0.868753
40181.93000,0.868651
40181.94000,0.86855
40181.95000,0.868449
40181.96000,0.868348
40181.97000,0.868247
40181.98000,0.868146
40181.99000,0.868045
40182.00000,0.867944
40182.01000,0.867843
40182.02000,0.867741
40182.03000,0.86764
40182.04000,0.867539
40182.05000,0.867438
40182.06000,0.867337
40182.07000,0.867236
40182.08000,0.867135
40182.09000,0.867034
40182.10000,0.866933
40182.11000,0.866832
40182.12000,0.866731
40182.13000,0.86663
40182.14000,0.866529
40182.15000,0.866427
40182.16000,0.866326
40182.17000,0.866225
40182.18000,0.866124
40182.19000,0.866023
40182.20000,0.865922
40182.21000,0.865821
40182.22000,0.86572
40182.23000,0.865542
40182.24000,0.86534
40182.25000,0.865139
40182.26000,0.864937
40182.27000,0.864736
40182.28000,0.864534
40182.29000,0.864333
40182.30000,0.864131
40182.31000,0.86393
40182.32000,0.863728
40182.33000,0.863526
40182.34000,0.863325
40182.35000,0.863123
40182.36000,0.862922
40182.37000,0.86272
40182.38000,0.862519
40182.39000,0.862317
40182.40000,0.862115
40182.41000,0.861873
40182.42000,0.861631
40182.43000,0.861388
40182.44000,0.861146
40182.45000,0.860904
40182.46000,0.860661
40182.47000,0.860419
40182.48000,0.860177
40182.49000,0.859935
40182.50000,0.859692
40182.51000,0.85945
40182.52000,0.859208
40182.53000,0.858965
40182.54000,0.858723
40182.55000,0.858481
40182.56000,0.858238
40182.57000,0.857996
40182.58000,0.857789
40182.59000,0.857688
40182.60000,0.857586
40182.61000,0.857485
40182.62000,0.857383
40182.63000,0.857282
40182.64000,0.857181
40182.65000,0.857079
40182.66000,0.856978
40182.67000,0.856876
40182.68000,0.856775
40182.69000,0.856674
40182.70000,0.856572
40182.71000,0.856471
40182.72000,0.856369
40182.73000,0.856268
40182.74000,0.856167
40182.75000,0.856065
40182.76000,0.855964
40182.77000,0.855863
40182.78000,0.855761
40182.79000,0.85566
40182.80000,0.855559
40182.81000,0.855458
40182.82000,0.855357
40182.83000,0.855255
40182.84000,0.855154
40182.85000,0.855053
40182.86000,0.854952
40182.87000,0.85485
40182.88000,0.854749
40182.89000,0.854648
40182.90000,0.854547
40182.91000,0.854445
40182.92000,0.854344
40182.93000,0.854243
40182.94000,0.854142
40182.95000,0.85404
40182.96000,0.853939
40182.97000,0.853838
40182.98000,0.853736
40182.99000,0.853635
40183.00000,0.853534
40183.01000,0.853433
40183.02000,0.853331
40183.03000,0.85323
40183.04000,0.853129
40183.05000,0.853028
40183.06000,0.852926
40183.07000,0.852825
40183.08000,0.852724
40183.09000,0.852623
40183.10000,0.852521
40183.11000,0.85242
40183.12000,0.852319
40183.13000,0.852217
40183.14000,0.852116
40183.15000,0.852015
40183.16000,0.851913
40183.17000,0.851812
40183.18000,0.851711
40183.19000,0.851609
40183.20000,0.851508
40183.21000,0.851406
40183.22000,0.851305
40183.23000,0.851204
40183.24000,0.851102
40183.25000,0.851001
40183.26000,0.8509
40183.27000,0.850798
40183.28000,0.850697
40183.29000,0.850561
40183.30000,0.850299
40183.31000,0.850038
40183.32000,0.849777
40183.33000,0.849516
40183.34000,0.849254
40183.35000,0.848993
40183.36000,0.848732
40183.37000,0.84847
40183.38000,0.848209
40183.39000,0.847948
40183.40000,0.847687
40183.41000,0.847425
40183.42000,0.847164
40183.43000,0.846903
40183.44000,0.846642
40183.45000,0.84638
40183.46000,0.846119
40183.47000,0.845897
40183.48000,0.84572
40183.49000,0.845543
40183.50000,0.845366
40183.51000,0.845189
40183.52000,0.845012
40183.53000,0.844835
40183.54000,0.844658
40183.55000,0.844481
40183.56000,0.844304
40183.57000,0.844127
40183.58000,0.84395
40183.59000,0.843774
40183.60000,0.843597
40183.61000,0.84342
40183.62000,0.843243
40183.63000,0.843066
40183.64000,0.842889
40183.65000,0.842765
40183.66000,0.842663
40183.67000,0.842562
40183.68000,0.84246
40183.69000,0.842358
40183.70000,0.842257
40183.71000,0.842155
40183.72000,0.842053
40183.73000,0.841952
40183.74000,0.84185
40183.75000,0.841748
40183.76000,0.841647
40183.77000,0.841545
40183.78000,0.841443
40183.79000,0.841342
40183.80000,0.84124
40183.81000,0.841138
40183.82000,0.841037
40183.83000,0.840935
40183.84000,0.840833
40183.85000,0.840731
40183.86000,0.840629
40183.87000,0.840528
40183.88000,0.840426
40183.89000,0.840324
40183.90000,0.840222
40183.91000,0.840121
40183.92000,0.840019
40183.93000,0.839917
40183.94000,0.839815
40183.95000,0.839713
40183.96000,0.839612
40183.97000,0.83951
40183.98000,0.839408
